Pathway	GeneID	Symbol	Description	HL_vs_LL_1mM_log2FC	HL_vs_LL_1mM_padj	HL_vs_LL_10mM_log2FC	HL_vs_LL_10mM_padj	HighN_vs_LowN_HL_log2FC	HighN_vs_LowN_HL_padj	HighN_vs_LowN_LL_log2FC	HighN_vs_LowN_LL_padj
Chloroplast_Function	Cz02g32090	AT4G01050	(1 of 1) PTHR47377:SF1 - RHODANESE-LIKE DOMAIN-CONTAINING PROTEIN 4, CHLOROPLASTIC	-0.0421	0.71568	-0.2539	0.057154	0.3121	0.024481	0.524	0.023363
Transcription	Cz02g32110	AT1G59077	(1 of 4) PTHR15180:SF1 - GENERAL TRANSCRIPTION FACTOR 3C POLYPEPTIDE 1	-0.0272	0.890646	0.1791	0.679281	-0.8938	0.024229	-1.1001	0.020701
Transcription	Cz02g32120	AT1G59453	(1 of 2) K15199 - general transcription factor 3C polypeptide 1 (GTF3C1)	0.2572	0.282429	-0.2161	0.648425	-1.6813	0.014912	-1.208	0.026009
Chloroplast_Function	Cz02g32170	AT4G01800	(1 of 1) PTHR30612:SF0 - PROTEIN TRANSLOCASE SUBUNIT SECA1, CHLOROPLASTIC	-0.0994	0.218212	0.1565	0.41115	0.2821	0.038026	0.0263	0.817222
RNA_Polymerase	Cz02g32190	AT5G09380	(1 of 1) PTHR13408:SF0 - DNA-DIRECTED RNA POLYMERASE III SUBUNIT RPC4	0.0964	0.694518	0.3158	0.254288	-0.0386	0.818703	-0.2581	0.184671
One_Carbon_Metabolism	Cz02g32200	AT1G16445	(1 of 2) 2.1.1.163 - demethylmenaquinone methyltransferase. / demethylmenaquinone C-methylase.	1e-04	0.999504	0.2743	0.226724	-0.113	0.274095	-0.3872	0.04646
Translation	Cz02g32210	AT3G53020	(1 of 3) K02896 - large subunit ribosomal protein L24e (RP-L24e, RPL24)	-0.064	0.463988	0.2062	0.194993	0.2275	0.072493	-0.0427	0.478398
Translation_Elongation	Cz02g32220	AT1G07930	(1 of 5) K03231 - elongation factor 1-alpha (EEF1A)	-0.0367	0.675342	0.3365	0.231743	-0.09	0.41233	-0.4632	0.033537
Translation	Cz02g32260	AT5G02960	(1 of 1) PTHR11652:SF64 - 40S RIBOSOMAL PROTEIN S23-2	-0.0642	0.655117	0.2364	0.254259	0.2429	0.079415	-0.0577	0.669448
Beta_Carotene	Cz02g32280	AT4G14210	(1 of 1) K02293 - 15-cis-phytoene desaturase (PDS, crtP)	0.1923	0.258533	0.2609	0.093318	0.2054	0.032593	0.1368	0.136024
Protein_Proteolysis	Cz02g33020	AT1G51980	(1 of 1) PTHR11851:SF203 - MITOCHONDRIAL-PROCESSING PEPTIDASE SUBUNIT ALPHA-1, MITOCHONDRIAL-RELATED	0.1546	0.20845	0.2194	0.074018	-0.1416	0.040442	-0.2065	0.027666
Chloroplast_Function	Cz02g33030	AT5G19940	(1 of 1) PTHR31906:SF25 - PLASTID-LIPID-ASSOCIATED PROTEIN 8, CHLOROPLASTIC-RELATED	-0.5698	0.240385	-1.1853	0.131005	0.9592	0.041105	1.5747	0.051471
Meiosis_Recombination	Cz02g33120	AT5G66030	(1 of 1) PTHR23160:SF1 - SYNAPTONEMAL COMPLEX PROTEIN ZIP1	0.6687	0.526848	-1.2058	0.154854	-3.3065	0.118786	-1.432	0.1964
Translation	Cz02g33150	AT2G31610	(1 of 3) K02985 - small subunit ribosomal protein S3e (RP-S3e, RPS3)	-0.0566	0.560329	0.2129	0.173754	0.3285	0.028228	0.059	0.489499
Starch	Cz02g33260	AT5G01260	(1 of 2) 2.7.9.5 - phosphoglucan, water dikinase. / phosphoglucan, water dikinase.	0.335	0.162313	-0.437	0.289691	-1.1018	0.011524	-0.3297	0.156827
Peroxisome_Biogenesis	Cz02g34010	AT3G24570	(1 of 1) PTHR11266:SF111 - PEROXISOMAL MEMBRANE 22 KDA (MPV17_PMP22) FAMILY PROTEIN	0.1188	0.415002	-5e-04	0.998782	-0.3556	0.206063	-0.2363	0.079926
Chromatin_Remodeling_SWI_SNF	Cz02g34030	AT5G07810	(1 of 1) PTHR45766:SF5 - SNF2 DOMAIN-CONTAINING PROTEIN _ HELICASE DOMAIN-CONTAINING PROTEIN _ HNH ENDONUCLEASE DOMAIN-CONTAINING PROTEIN	0.3014	0.262946	-5e-04	0.998605	-1.22	0.007763	-0.9181	0.028271
Chloroplast_Function	Cz02g34060	AT1G70610	(1 of 1) PTHR24222:SF64 - ABC TRANSPORTER B FAMILY MEMBER 26, CHLOROPLASTIC	-0.2674	0.258132	-0.4092	0.206998	-1.2782	0.019815	-1.1364	0.012914
Protein_Methylation	Cz02g34100	AT4G29510	(1 of 1) PTHR11006:SF53 - PROTEIN ARGININE N-METHYLTRANSFERASE 3	0.3452	0.256124	0.1966	0.251931	-0.1871	0.129812	-0.0385	0.257945
Phospholipid_Biosynthesis	Cz02g34160	AT1G63110	(1 of 2) K05293 - phosphatidylinositol glycan, class U (PIGU)	0.2086	0.344459	0.0156	0.927162	-0.4217	0.031757	-0.2287	0.169908
Chaperone	Cz02g34170	AT3G17830	(1 of 1) PTHR43096:SF26 - MOLECULAR CHAPERONE HSP40_DNAJ FAMILY PROTEIN	0.1237	0.565288	0.0347	0.740118	-0.5341	0.017936	-0.4451	0.107684
Ethylene	Cz02g34190	AT3G14230	(1 of 1) PTHR31190:SF185 - ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR RAP2-2	-0.0022	0.989796	-0.0709	0.881729	-1.0186	0.018137	-0.9499	0.030342
Purine	Cz02g35010	AT3G20650	(1 of 1) PTHR12189:SF2 - MRNA CAP GUANINE-N7 METHYLTRANSFERASE	0.2313	0.390303	0.2321	0.366314	-0.7248	0.040061	-0.7255	0.022521
Chaperone	Cz02g35050	AT1G59980	(1 of 1) PTHR44272:SF5 - CHAPERONE PROTEIN DNAJ 39	0.3771	0.306536	-0.1372	0.708063	-0.9559	0.030216	-0.4416	0.093901
Sulfate_Transport	Cz02g35090	AT4G21250	(1 of 2) PTHR14255:SF53 - SULFITE EXPORTER TAUE_SAFE FAMILY PROTEIN 5-RELATED	0.5295	0.591147	0.4683	0.719069	0.4991	0.234125	0.5602	0.653554
Vitamin_E_Tocopherol	Cz02g35110	AT1G74470	(1 of 1) 1.3.1.83 - geranylgeranyl diphosphate reductase. / geranylgeranyl reductase.	-0.4824	0.241249	-0.6983	0.116335	0.7234	0.014026	0.9394	0.027666
Lysine	Cz02g35120	AT5G39410	(1 of 1) PTHR12286:SF5 - SACCHAROPINE DEHYDROGENASE-LIKE OXIDOREDUCTASE	0.4244	0.474912	1.3887	0.160891	-0.1741	0.532752	-1.1384	0.17042
Serine	Cz02g35180	AT2G33205	(1 of 1) PTHR10383:SF23 - SERINC-DOMAIN CONTAINING SERINE AND SPHINGOLIPID BIOSYNTHESIS PROTEIN	-0.2095	0.389003	0.2909	0.503418	1.0056	0.075265	0.5051	0.162566
Inositol	Cz02g35230	AT4G18010	(1 of 1) PTHR45666:SF21 - TYPE I INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 2	0.3525	0.267725	-0.0498	0.673758	-0.7476	0.035664	-0.3453	0.07841
Inositol	Cz02g35240	AT4G18010	(1 of 1) PTHR45666:SF21 - TYPE I INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 2	0.2326	0.296418	0.0459	0.769757	-0.5752	0.014096	-0.3884	0.086274
Chloroplast_Function	Cz02g35280	AT4G15560	(1 of 1) PTHR43322:SF5 - 1-DEOXY-D-XYLULOSE-5-PHOSPHATE SYNTHASE, CHLOROPLASTIC	0.0713	0.329675	-0.411	0.057154	-0.1269	0.083676	0.3555	0.015487
Redox_Metabolism	Cz02g36020	AT1G22430	(1 of 2) PTHR43880:SF28 - ALCOHOL DEHYDROGENASE-LIKE 1-RELATED	0.599	0.347299	-1.1047	0.326627	-2.3144	0.044033	-0.6107	0.228176
Inositol	Cz02g36030	AT5G51970	(1 of 1) 1.1.1.14//1.1.1.56 - L-iditol 2-dehydrogenase. / sorbitol dehydrogenase. // ribitol 2-dehydrogenase. / ribitol 2-dehydrogenase.	0.5449	0.362836	-1.3579	0.04754	-2.9255	0.046821	-1.0228	0.13359
Inositol	Cz02g36040	AT5G51970	(1 of 1) 1.1.1.14//1.1.1.56 - L-iditol 2-dehydrogenase. / sorbitol dehydrogenase. // ribitol 2-dehydrogenase. / ribitol 2-dehydrogenase.	-0.1853	0.412193	0.5766	0.205945	1.5928	0.007892	0.8309	0.12478
Molybdenum_Cofactor	Cz02g36070	AT3G29130	(1 of 1) PTHR13511:SF0 - KXDL MOTIF-CONTAINING PROTEIN 1	0.451	0.258698	-0.2367	0.33633	-1.1271	0.033379	-0.4395	0.082932
Protein_Proteolysis	Cz02g36090	AT5G19660	(1 of 1) 3.4.21.112 - site-1 protease. / subtilisin/kexin isozyme 1.	-0.3927	0.441677	-0.4159	0.301464	-0.1287	0.576606	-0.1055	0.72809
Cell_Cycle_Chromatin	Cz02g36150	AT1G48310	(1 of 1) K14440 - SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 [EC:3.6.4.12] (SMARCAL1, HARP)	0.7707	0.325891	-0.7703	0.309626	-4.0396	0.054498	-2.4986	0.077306
TCA_Cycle	Cz02g36180	AT5G01340	(1 of 1) K15100 - solute carrier family 25 (mitochondrial citrate transporter), member 1 (SLC25A1, CTP)	-0.0135	0.913359	0.2632	0.088271	0.4068	0.009846	0.1301	0.188216
RNA_Splicing	Cz02g36200	AT2G39650	(1 of 1) PTHR31579:SF39 - OS01G0973600 PROTEIN	0.0477	0.622734	0.5536	0.116154	0.3991	0.009002	-0.1068	0.375029
Cell_Wall_Remodeling	Cz02g36220	AT4G31590	(1 of 1) PTHR32044:SF80 - XYLOGLUCAN GLYCOSYLTRANSFERASE 5-RELATED	0.1732	0.551628	0.7433	0.088758	0.8377	0.012338	0.2677	0.282826
Protein_Kinase_Signalling	Cz02g36300	AT2G35890	(1 of 1) PTHR24349:SF295 - CALCIUM-DEPENDENT PROTEIN KINASE 25	0.0721	0.882	-0.6061	0.262878	0.4404	0.30258	1.1186	0.027085
tRNA_Modification	Cz02g36320	AT5G50320	(1 of 1) K07739 - elongator complex protein 3 [EC:2.3.1.48] (ELP3, KAT9)	0.1087	0.360562	0.1972	0.414602	-0.1515	0.286475	-0.2401	0.026338
Protein_Methylation	Cz02g37010	AT1G01920	(1 of 1) PTHR13271:SF55 - SET DOMAIN-CONTAINING PROTEIN	-0.0548	0.881507	-0.1497	0.465672	-0.314	0.265585	-0.2192	0.293691
Protein_Kinase_Signalling	Cz02g37110	AT5G63610	(1 of 1) K02208 - cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23] (CDK8_11)	0.2449	0.288594	0.157	0.338279	-0.2033	0.08326	-0.1154	0.383285
Protein_Kinase_Signalling	Cz02g37120	AT5G63610	(1 of 1) K02208 - cyclin-dependent kinase 8/11 [EC:2.7.11.22 2.7.11.23] (CDK8_11)	0.3224	0.280371	0.1162	0.644473	-0.307	0.116164	-0.1009	0.491898
RNA_Interference	Cz02g37150	AT1G48410	(1 of 1) PTHR22891:SF174 - ARGONAUTE-1, ISOFORM A	0.4177	0.251619	0.0073	0.978908	-1.072	0.009592	-0.6616	0.06189
Chloroplast_Function	Cz02g37160	AT4G22890	(1 of 1) PTHR31032:SF9 - PGR5-LIKE PROTEIN 1A, CHLOROPLASTIC	-0.1627	0.22205	0.2159	0.116335	0.441	0.0234	0.0624	0.274216
Redox_Metabolism	Cz02g37170	AT4G30210	(1 of 2) 1.6.2.4 - NADPH--hemoprotein reductase. / TPNH-cytochrome c reductase.	0.0877	0.221622	0.1754	0.320469	-0.1833	0.136779	-0.2711	0.061641
Protein_Kinase_Signalling	Cz02g37180	AT3G20200	(1 of 1) PTHR45647:SF125 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	-0.0744	0.336324	0.0179	0.913755	0.1554	0.084915	0.0631	0.513722
UFM1_Modification	Cz02g37190	AT4G27120	(1 of 1) PTHR48176:SF1 - DDRGK DOMAIN-CONTAINING PROTEIN 1	-0.0684	0.673419	0.2251	0.281988	-0.0258	0.808926	-0.3192	0.097162
Protein_Kinase_Signalling	Cz02g37210	AT3G08720	(1 of 2) K04688 - p70 ribosomal S6 kinase (RPS6KB)	0.1005	0.472303	-0.0839	0.711627	-1.0519	0.009762	-0.8675	0.020919
Sucrose	Cz02g37220	AT2G35840	(1 of 1) PTHR46521:SF4 - SUCROSE-PHOSPHATASE 2-RELATED	-0.1068	0.380702	0.3203	0.302684	-0.2345	0.165962	-0.6616	0.0316
Histone_Modification	Cz02g38050	AT4G40040	(1 of 3) PTHR11426:SF210 - HISTONE H3.3	-0.0207	0.951578	0.3096	0.192038	-0.4079	0.076156	-0.7382	0.092822
Redox_Metabolism	Cz02g38070	AT4G30210	(1 of 2) 1.6.2.4 - NADPH--hemoprotein reductase. / TPNH-cytochrome c reductase.	-0.1492	0.647555	0.0586	0.939483	0.1028	0.830182	-0.1051	0.576536
Redox_Metabolism	Cz02g38090	AT4G30210	(1 of 2) 1.6.2.4 - NADPH--hemoprotein reductase. / TPNH-cytochrome c reductase.	0.1327	0.828183	-1.022	0.471989	-4.6506	0.07462	-3.4958	0.03569
ROS_Production	Cz02g38130	AT1G62620	(1 of 4) PTHR23023:SF266 - FLAVIN-CONTAINING MONOOXYGENASE	0.0262	0.880056	0.1441	0.259942	-0.1872	0.211838	-0.3051	0.028007
Protein_Proteolysis	Cz02g38140	AT1G52600	(1 of 1) PTHR10806:SF6 - SIGNAL PEPTIDASE COMPLEX CATALYTIC SUBUNIT SEC11C	0.0945	0.459072	0.2567	0.093318	0.0829	0.122861	-0.0794	0.395893
Chloroplast_Function	Cz02g38160	AT3G22840	(1 of 1) PTHR14154:SF5 - EARLY LIGHT-INDUCED PROTEIN 1, CHLOROPLASTIC-RELATED	-0.0741	0.648302	0.6199	0.112665	0.8542	0.034713	0.1602	0.29552
Protein_Kinase_Signalling	Cz02g38210	AT4G33950	(1 of 1) PTHR24343:SF509 - SERINE_THREONINE-PROTEIN KINASE SRK2E	-0.1151	0.331983	0.0953	0.728442	-0.6686	0.018916	-0.879	0.021474
Proline	Cz02g38250	AT1G18170	(1 of 1) PTHR47598:SF1 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP17-2, CHLOROPLASTIC	0.0063	0.773437	0.2147	0.44233	0.4436	0.114993	0.2352	0.043281
Translation	Cz02g38270	AT1G04950	(1 of 1) PTHR10221:SF13 - TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 6	0.0771	0.562	0.1373	0.313035	-0.2524	0.024128	-0.3126	0.070346
Translation	Cz02g39010	ATCG00830	(1 of 2) K02886 - large subunit ribosomal protein L2 (RP-L2, MRPL2, rplB)	0.0559	0.619098	0.1022	0.594759	-0.4108	0.038873	-0.4571	0.044072
Cohesin_Condensin	Cz02g39050	AT3G47460	(1 of 2) K06674 - structural maintenance of chromosome 2 (SMC2)	0.6188	0.572471	3.485	0.220242	-1.5041	0.192301	-4.3702	0.129524
Cohesin_Condensin	Cz02g39060	AT3G47460	(1 of 2) K06674 - structural maintenance of chromosome 2 (SMC2)	0.4483	0.512526	0.5765	0.640584	-1.0022	0.159432	-1.1304	0.078578
Redox_Metabolism	Cz02g39080	AT5G04590	(1 of 1) 1.8.7.1 - assimilatory sulfite reductase (ferredoxin). / sulfite reductase (ferredoxin).	0.1022	0.438569	0.3955	0.237198	-0.2955	0.128548	-0.5888	0.027666
Protein_Methylation	Cz02g39130	AT5G24330	(1 of 1) PTHR48354:SF1 - N-METHYLTRANSFERASE ATXR5, PUTATIVE-RELATED	0.0932	0.540072	-0.047	0.957602	-1.9125	0.01437	-1.7724	0.016523
Translation	Cz02g39170	AT3G56150	(1 of 2) K03252 - translation initiation factor 3 subunit C (EIF3C)	-0.0902	0.522482	0.1093	0.663656	-0.4656	0.029161	-0.6651	0.027666
Protein_Methylation	Cz02g40010	AT2G17900	(1 of 1) PTHR12197:SF285 - HISTONE-LYSINE N-METHYLTRANSFERASE ASHR1	0.192	0.398922	-0.3325	0.411294	-1.1098	0.020356	-0.5854	0.059701
Exocyst_Complex	Cz02g40050	AT1G29630	(1 of 2) K10746 - exonuclease 1 (EXO1)	0.1939	0.615381	-0.3022	0.440943	-0.9707	0.024619	-0.4746	0.227031
Exocyst_Complex	Cz02g40060	AT1G29630	(1 of 2) K10746 - exonuclease 1 (EXO1)	0.3379	0.386039	-0.1438	0.85154	-1.1835	0.027382	-0.7018	0.127153
Wax_Cutin	Cz02g40080	AT5G22500	(1 of 1) PTHR11011:SF67 - FATTY ACYL-COA REDUCTASE 1	-0.2205	0.247902	-0.8044	0.338935	-1.4146	0.008335	-0.8306	0.087044
Cohesin_Condensin	Cz02g40090	AT5G48600	(1 of 1) K06675 - structural maintenance of chromosome 4 (SMC4)	-0.0096	0.977637	-0.004	0.990421	-0.2335	0.317682	-0.2391	0.379426
Selective_Autophagy	Cz02g40170	AT5G43270	(1 of 1) PTHR31251:SF74 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 2	0.8653	0.221622	0.7067	0.465088	-2.4582	0.016006	-2.2996	0.030279
Redox_Metabolism	Cz02g40230	AT2G24190	(1 of 3) K15095 - (+)-neomenthol dehydrogenase (E1.1.1.208)	0.2979	0.359919	0.2124	0.478694	-1.0092	0.03195	-0.9237	0.021371
COPI_Coatomer	Cz02g40240	AT1G62020	(1 of 1) PTHR19876:SF1 - COATOMER SUBUNIT ALPHA	0.1625	0.263989	0.1115	0.583381	-0.6829	0.014903	-0.6319	0.02147
COPI_Coatomer	Cz02g40250	AT2G21390	(1 of 1) PTHR19876:SF29 - COATOMER SUBUNIT ALPHA-2	0.1767	0.333045	0.0605	0.715292	-0.7462	0.008371	-0.63	0.033324
Photosynthesis	Cz02g41080	AT1G05385	(1 of 1) PTHR34041:SF3 - PHOTOSYSTEM II D1 PRECURSOR PROCESSING PROTEIN PSB27-H2, CHLOROPLASTIC	0.0565	0.550263	0.5445	0.284176	0.5285	0.132272	0.0405	0.486145
Purine	Cz02g41110	AT3G26410	(1 of 1) 2.1.1.214 - tRNA (guanine(10)-N(2))-methyltransferase. / tRNA (guanine(10)-N(2))-methyltransferase.	-0.0069	0.913028	0.1774	0.434876	0.0543	0.665269	-0.13	0.148278
Transcription	Cz02g41120	AT3G26790	(1 of 1) PTHR31140:SF73 - B3 DOMAIN-CONTAINING TRANSCRIPTION FACTOR FUS3	0.2325	0.671761	-0.2958	0.695557	1.1298	0.222608	1.658	0.041381
Protein_Methylation	Cz02g41130	AT1G08125	(1 of 1) PTHR14614:SF98 - PROTEIN-LYSINE N-METHYLTRANSFERASE EFM6	0.0546	0.797458	0.1884	0.440766	-0.131	0.238861	-0.2648	0.214611
Fatty_Acid	Cz02g41140	AT2G26240	(1 of 1) PTHR12668:SF47 - PROTEIN FATTY ACID EXPORT 7	0.4128	0.221622	0.0516	0.880536	-0.6312	0.055923	-0.27	0.113652
RNA_Processing	Cz02g41150	ATMG00860	(1 of 1) PTHR45643:SF7 - REVERSE TRANSCRIPTASE RNASE H-LIKE DOMAIN-CONTAINING PROTEIN	-0.1157	0.474214	0.1222	0.82327	-0.6272	0.111864	-0.8651	0.035576
Phospholipid_Biosynthesis	Cz02g41200	AT1G49340	(1 of 1) PTHR10048:SF15 - PHOSPHATIDYLINOSITOL 4-KINASE ALPHA-LIKE PROTEIN P2-RELATED	0.3517	0.296801	-0.0353	0.889106	-1.028	0.009055	-0.6411	0.066192
RNA_Processing	Cz02g41230	AT1G16280	(1 of 1) K14778 - ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13] (DDX49, DBP8)	-0.2416	0.304627	0.1895	0.379748	-0.1259	0.305721	-0.557	0.038272
Cohesin_Condensin	Cz02g41240	AT3G47460	(1 of 2) K06674 - structural maintenance of chromosome 2 (SMC2)	0.3135	0.277476	-0.4813	0.205945	-0.7276	0.025923	0.0672	0.335771
Protein_Proteolysis	Cz02g41250	AT1G66670	(1 of 1) PTHR10381:SF50 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT 3, CHLOROPLASTIC	0.0764	0.415166	0.3225	0.111239	0.4061	0.009282	0.16	0.085885
Protein_Kinase_Signalling	Cz02g41260	AT1G54960	(1 of 2) PTHR48016:SF51 - PROTEIN KINASE DOMAIN-CONTAINING PROTEIN	0.2111	0.48226	-0.4969	0.397118	-1.8673	0.009282	-1.1593	0.050118
Heme_Porphyrin	Cz02g42010	AT4G01690	(1 of 2) 1.3.3.4 - protoporphyrinogen oxidase. / protoporphyrinogen IX oxidase.	-0.37	0.257266	-0.3709	0.059232	0.7216	0.008683	0.7225	0.020919
Proline	Cz02g42060	AT5G13410	(1 of 1) PTHR47717:SF1 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP19, CHLOROPLASTIC	0.1245	0.672567	0.0166	0.962293	0.0585	0.807439	0.1665	0.335558
Ubiquitin_Proteasome	Cz03g00050	AT2G40770	(1 of 1) K15710 - E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 6.3.2.19] (SHPRH)	0	NA	0	NA	0	NA	0	NA
Chlorophyll	Cz03g00160	AT2G21970	(1 of 35) IPR023329 - Chlorophyll a/b binding protein domain	1.0823	0.143851	0.973	0.18643	-1.5766	0.007727	-1.4672	0.058528
Aspartate	Cz03g00170	AT4G31990	(1 of 1) K00811 - aspartate aminotransferase, chloroplastic (ASP5)	0.0135	0.860226	0.3457	0.127152	0.4273	0.021897	0.0951	0.088688
Vitamin_C_Ascorbate	Cz03g00240	AT3G02870	(1 of 1) 3.1.3.25//3.1.3.93 - inositol-phosphate phosphatase. / myo-inositol monophosphatase. // L-galactose 1-phosphate phosphatase. / L-galactose 1-phosphate phosphatase.	0.4304	0.29656	0.0701	0.644473	-0.4746	0.036966	-0.1142	0.608367
Glycine	Cz03g00260	AT4G13850	(1 of 2) PTHR48024:SF57 - GLYCINE-RICH RNA-BINDING PROTEIN 2, MITOCHONDRIAL	-0.3354	0.260392	-0.6155	0.528192	-0.1181	0.736572	0.162	0.747714
ER_Protein_Quality	Cz03g00280	AT2G47470	(1 of 1) PTHR45672:SF17 - PROTEIN DISULFIDE-ISOMERASE LIKE 2-1	0.1158	0.299341	0.7765	0.195542	0.3006	0.222213	-0.36	0.025142
mRNA_5_Processing	Cz03g00300	AT3G09100	(1 of 1) PTHR10367:SF17 - MRNA-CAPPING ENZYME	0.2211	0.310675	-0.0513	0.814165	-0.7638	0.024109	-0.4914	0.072924
ABC_Transporter	Cz03g01010	AT1G17840	(1 of 1) PTHR48042:SF11 - ABC TRANSPORTER G FAMILY MEMBER 11	-0.4876	0.827046	0	NA	-3.1334	0.249969	-3.621	0.353693
RNA_Splicing	Cz03g01110	AT2G04040	(1 of 5) PTHR11206:SF333 - PROTEIN DETOXIFICATION 1-RELATED	-0.009	0.974652	0.7751	0.539296	-0.6843	0.233534	-1.4684	0.030794
Translation	Cz03g01130	AT1G04170	(1 of 3) K03242 - translation initiation factor 2 subunit 3 (EIF2S3)	-0.1194	0.428392	0.2352	0.290471	0.2933	0.079944	-0.0613	0.425489
Protein_Kinase_Signalling	Cz03g01140	AT1G72040	(1 of 1) 2.7.1.113//2.7.1.74//2.7.1.76 - deoxyguanosine kinase. / deoxyguanosine kinase. // deoxycytidine kinase. / deoxycytidine kinase. // deoxyadenosine kinase. / deoxyadenosine kinase.	0.0988	0.563128	-0.0382	0.751987	-0.6618	0.020877	-0.5248	0.052258
Ubiquitin_Proteasome	Cz03g01160	AT4G34040	(1 of 2) PTHR22937:SF216 - E3 UBIQUITIN-PROTEIN LIGASE MBR1-RELATED	2.7997	0.615381	-2.8745	0.436399	-2.7997	0.482354	2.8745	0.267433
Chaperone	Cz03g01190	AT1G66740	(1 of 2) K10753 - histone chaperone ASF1 (ASF1)	0.2691	0.296136	0.0473	0.779057	-0.5437	0.019724	-0.3218	0.117724
Protein_Sorting_Secretory	Cz03g01200	AT3G56190	(1 of 1) K15296 - alpha-soluble NSF attachment protein (NAPA, SNAPA, SEC17)	0.0986	0.442522	0.1667	0.381011	0.0305	0.764612	-0.0376	0.717243
RNA_Degradation	Cz03g01210	AT5G35430	(1 of 1) K12607 - CCR4-NOT transcription complex subunit 10 (CNOT10)	-0.023	0.848922	0.0262	0.945115	-0.3203	0.068897	-0.3695	0.154384
RNA_Degradation	Cz03g01220	AT5G35430	(1 of 1) K12607 - CCR4-NOT transcription complex subunit 10 (CNOT10)	0.0064	0.974672	0.1578	0.449744	-0.1105	0.166477	-0.2619	0.186642
Photosynthesis	Cz03g01250	AT1G44575	(1 of 1) K03542 - photosystem II 22kDa protein (psbS)	-0.1199	0.752795	2.3906	0.034011	2.8542	0.007727	0.3437	0.436095
Translation	Cz03g02010	AT3G15460	(1 of 1) PTHR13634:SF0 - RIBOSOME BIOGENESIS PROTEIN BRX1 HOMOLOG	-0.1098	0.590592	0.3915	0.243061	0.2406	0.181386	-0.2606	0.182552
Translation	Cz03g02040	AT1G07320	(1 of 1) PTHR10746:SF17 - 50S RIBOSOMAL PROTEIN L4, CHLOROPLASTIC	-0.1369	0.311931	0.4407	0.062732	0.6948	0.010835	0.1172	0.168601
Glutamate	Cz03g02090	AT1G58290	(1 of 1) PTHR43120:SF1 - GLUTAMYL-TRNA REDUCTASE 1, CHLOROPLASTIC	-0.5696	0.240385	-0.9267	0.033647	1.1262	0.00904	1.4832	0.009132
Auxin_IAA	Cz03g02100	AT1G55860	(1 of 2) K10592 - E3 ubiquitin-protein ligase HUWE1 (HUWE1, MULE, ARF-BP1)	0.0991	0.63247	0.056	0.924491	-1.427	0.019815	-1.3839	0.029165
RNA_Splicing	Cz03g02130	AT5G26340	(1 of 1) PTHR23500:SF357 - IP12678P	0.2314	0.353747	0.3337	0.174612	-0.6822	0.039524	-0.7845	0.029254
RNA_Processing	Cz03g02170	ATMG00860	(1 of 1) PTHR45643:SF7 - REVERSE TRANSCRIPTASE RNASE H-LIKE DOMAIN-CONTAINING PROTEIN	0.1325	0.771786	-0.1322	0.849879	-0.7655	0.111194	-0.5008	0.268724
Phospholipid_Biosynthesis	Cz03g02230	AT1G13640	(1 of 1) PTHR45800:SF32 - PHOSPHATIDYLINOSITOL 4-KINASE GAMMA 6	0.1902	0.546449	-0.229	0.657002	-0.9867	0.04087	-0.5675	0.072705
Aspartate	Cz03g02240	AT5G10950	(1 of 2) PTHR12663:SF3 - ASPARTYL BETA-HYDROXYLASE N-TERMINAL REGION DOMAIN-CONTAINING PROTEIN-RELATED	0	NA	0	NA	0	NA	0	NA
RNA_Splicing	Cz03g02250	AT5G53440	(1 of 1) KOG3454 - U1 snRNP-specific protein C	0.3376	0.438273	-0.4168	0.281307	-0.951	0.037328	-0.1966	0.554487
Karyopherin_Import	Cz03g03010	AT1G52380	(1 of 2) K15304 - Ran-binding protein 3 (RANBP3)	0.1975	0.309001	0.1207	0.179994	-0.4406	0.007727	-0.3637	0.06542
RNA_Splicing	Cz03g03040	AT1G04780	(1 of 1) PTHR12447:SF35 - ANKYRIN REPEAT FAMILY PROTEIN	0.244	0.437067	0.2233	0.585285	-0.6302	0.053231	-0.6095	0.11523
Wax_Cutin	Cz03g03050	AT2G25970	(1 of 3) K13210 - far upstream element-binding protein (FUBP)	-0.045	0.87255	-0.2809	0.579328	-1.1	0.026686	-0.8641	0.040439
Cell_Cycle_Chromatin	Cz03g03080	AT1G27510	(1 of 2) PF12014 - Cyclin D1 binding domain (Cyclin_D1_bind)	0.2332	0.253377	0.0316	0.942933	-0.146	0.39232	0.0556	0.81039
