og_id	c00	c01	c02	c03	c04	c05	c06	c07	c08	c09	c10	c11	c12	c13	c14	c15
37TES	0.0028	0.0042	0.0292	0.0058	0.5990	0.0329	0.0018	0.0608	0.0183	0.0276	0.0036	0.5339	0.3398	0.0028	0.0366	0.0485
37TET	1.2839	0.5453	1.2396	1.2516	0.5916	1.7415	1.9099	2.3346	0.6645	1.0758	1.5165	0.1524	0.5058	2.5081	0.1473	0.4155
37TEU	2.1820	1.4993	2.1463	2.1925	1.2060	3.0132	2.3919	2.3761	1.6245	2.2174	2.2701	0.2342	0.7754	2.6498	0.6486	0.9459
37TEV	1.1255	0.5494	0.5771	0.5710	1.8939	0.7462	0.3353	0.7218	0.6572	1.1109	1.6828	0.7359	0.4431	0.8132	0.2342	0.1962
37TEW	0.4976	0.9290	1.3632	0.4925	0.8299	0.5059	0.5752	2.5316	0.9748	0.8867	0.3483	0.6947	0.0145	0.6535	1.0530	0.6934
37TEX	1.1020	0.8014	0.1978	0.2995	0.1099	0.3333	0.1463	0.4615	0.5361	0.5146	1.0744	0.0182	0.0036	0.6953	0.0618	0.1258
37TEY	2.4035	2.2922	2.1963	2.1904	1.1853	2.4796	2.6152	2.5124	2.0281	1.9903	2.2880	0.5047	0.9839	2.4015	1.7560	2.4651
37TEZ	0.0112	0.0138	0.0625	0.0271	0.5016	0.0486	0.0105	0.1254	0.0484	0.0815	0.0111	0.1444	0.1006	0.0108	0.0510	0.0119
37TF0	0.5109	0.0991	0.0442	0.0621	0.0435	0.0625	0.0352	0.1372	0.0667	0.1236	0.7551	0.0091	0.0001	0.1692	0.0144	0.0127
37TF1	0.0324	0.0146	0.0085	0.0187	0.0087	0.0260	0.0049	0.0223	0.0140	0.0235	0.0704	0.0000	0.0000	0.0415	0.0009	0.0893
37TF2	1.5422	1.7125	1.3176	0.8722	0.6821	1.1251	1.1594	1.6370	1.4280	1.3654	1.2249	0.1275	0.9373	1.0760	1.4344	0.7795
