experiment_accession	assay	gene_id	specificity_score	marker_gene_rank	expression_unit	expression_level	gene_name	assay_id
E-GEOD-62671	zeitgeber time 6	CHLRE_11g467700v5	NULL	NULL	fpkms	50	Cre11.g467700	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_11g467700v5	NULL	NULL	fpkms	18	Cre11.g467700	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_16g674300v5	NULL	NULL	fpkms	81	Cre16.g674300	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_16g674300v5	NULL	NULL	fpkms	2	Cre16.g674300	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_16g674300v5	NULL	NULL	fpkms	40	Cre16.g674300	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_16g674300v5	0.2998	15	fpkms	272	Cre16.g674300	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_16g674300v5	NULL	NULL	fpkms	17	Cre16.g674300	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_16g674300v5	NULL	NULL	fpkms	57	Cre16.g674300	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_16g674300v5	NULL	NULL	fpkms	22	Cre16.g674300	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_16g674300v5	NULL	NULL	fpkms	8	Cre16.g674300	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_06g297049v5	NULL	NULL	fpkms	2	Cre06.g297049	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_06g297049v5	NULL	NULL	fpkms	0.1	Cre06.g297049	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_06g297049v5	NULL	NULL	fpkms	0.1	Cre06.g297049	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_06g297049v5	NULL	NULL	fpkms	0.1	Cre06.g297049	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_06g297049v5	0.0229	1	fpkms	80	Cre06.g297049	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_06g297049v5	NULL	NULL	fpkms	0.3	Cre06.g297049	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_06g297049v5	NULL	NULL	fpkms	0.7	Cre06.g297049	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_06g297049v5	NULL	NULL	fpkms	0.2	Cre06.g297049	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_07g318800v5	NULL	NULL	fpkms	1	Cre07.g318800	g1
E-GEOD-62671	zeitgeber time 12	CHLRE_07g318800v5	NULL	NULL	fpkms	0.4	Cre07.g318800	g2
E-GEOD-62671	zeitgeber time 15	CHLRE_07g318800v5	NULL	NULL	fpkms	0.8	Cre07.g318800	g3
E-GEOD-62671	zeitgeber time 18	CHLRE_07g318800v5	NULL	NULL	fpkms	0.8	Cre07.g318800	g4
E-GEOD-62671	zeitgeber time 21	CHLRE_07g318800v5	0.0237	2	fpkms	50	Cre07.g318800	g5
E-GEOD-62671	zeitgeber time 3	CHLRE_07g318800v5	NULL	NULL	fpkms	1	Cre07.g318800	g6
E-GEOD-62671	zeitgeber time 6	CHLRE_07g318800v5	NULL	NULL	fpkms	1	Cre07.g318800	g7
E-GEOD-62671	zeitgeber time 9	CHLRE_07g318800v5	NULL	NULL	fpkms	0.5	Cre07.g318800	g8
E-GEOD-62671	zeitgeber time 0	CHLRE_03g146667v5	NULL	NULL	fpkms	1	Cre03.g146667	g1
