Pathway	GeneID	Symbol	Description	wtns_vs_wtc_log2FC	wtns_vs_wtc_padj	vipns_vs_vipc_log2FC	vipns_vs_vipc_padj	vipc_vs_wtc_log2FC	vipc_vs_wtc_padj	vipns_vs_wtns_log2FC	vipns_vs_wtns_padj
Serine	Cre09.g388875	Cre09.g388875	ATP binding protein kinase activity protein phosphorylation nucleotide binding protein serine/threonine kinase activity signal transduction	1.2888	0.763672	1.6852	0.281611	0.8146	0.627762	1.211	0.606213
Vitamin_B6_Pyridoxine	Cre09.g389089	Cre09.g389089	pyridoxal phosphate binding catalytic activity molybdenum ion binding	0.6491	0.763672	1.3962	0.357402	0.4904	0.634381	1.2376	0.606213
Chaperone	Cre09.g389245	Cre09.g389245	nucleus protein-folding chaperone binding protein folding cytoplasm protein folding chaperone protein binding	1.105	0.763672	0.3891	0.527357	1.0434	0.627762	0.3275	0.66768
Phenylalanine	Cre09.g389430	Cre09.g389430	ATP binding cytoplasm nucleotide binding tRNA binding phenylalanine-tRNA ligase activity phenylalanyl-tRNA aminoacylation aminoacyl-tRNA ligase activity tRNA aminoacylation metal ion binding translation ligase activity phenylalanine-tRNA ligase complex	-0.7106	0.765014	-0.9062	0.257004	0.6067	0.627762	0.4111	0.668599
Ubiquitin_Proteasome	Cre09.g389450	Cre09.g389450	RNA binding nucleic acid binding protein ubiquitination ubiquitin-protein transferase activity ubiquitin protein ligase activity	-0.2513	0.883167	-0.4229	0.451834	0.7988	0.627762	0.6272	0.619926
Photosynthesis	Cre09.g389578	Cre09.g389578	calcium ion binding photosynthesis photosystem II photosystem II oxygen evolving complex extrinsic component of membrane chloroplast thylakoid membrane photosystem I assembly	-0.2181	0.943037	0.2546	0.763174	1.3925	0.627762	1.8652	0.606213
Tyrosine	Cre09.g389600	Cre09.g389600	ATP binding protein kinase activity protein phosphorylation nucleotide binding plasma membrane protein tyrosine kinase activity	0.867	0.765014	1.7878	0.26251	0.0676	0.932818	0.9884	0.606213
Tyrosine	Cre09.g389650	Cre09.g389650	ATP binding protein kinase activity protein phosphorylation nucleotide binding plasma membrane protein tyrosine kinase activity	1.1675	0.765014	-0.0044	0.996912	1.1802	0.637243	0.0083	0.992184
Isoleucine	Cre09.g389689	Cre09.g389689	NAD binding protein dimerization activity NADP binding oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor lysine biosynthetic process via diaminopimelate amino acid biosynthetic process methionine biosynthetic process threonine biosynthetic process isoleucine biosynthetic process aspartate-semialdehyde dehydrogenase activity oxidoreductase activity lysine biosynthetic process diaminopimelate biosynthetic process alpha-amino acid biosynthetic process	-1.9297	0.763672	-1.9576	0.084682	0.529	0.627762	0.5011	0.664575
cAMP_Signalling	Cre09.g389875	Cre09.g389875	signal transduction phosphoric diester hydrolase activity 3',5'-cyclic-nucleotide phosphodiesterase activity hydrolase activity metal ion binding 3',5'-cyclic-AMP phosphodiesterase activity 3',5'-cyclic-GMP phosphodiesterase activity	1.1824	0.763672	0.4135	0.59205	0.75	0.635967	-0.019	0.984277
Ubiquitin_Proteasome	Cre09.g389912	Cre09.g389912	cytoplasm nucleus ubiquitin binding proteasome-mediated ubiquitin-dependent protein catabolic process ubiquitin recycling protein binding	-0.2644	0.884371	0.1655	0.799173	0.4719	0.637243	0.9018	0.606213
Tyrosine	Cre09.g389949	Cre09.g389949	protein tyrosine phosphatase activity dephosphorylation hydrolase activity protein dephosphorylation	-0.4313	0.769193	-0.072	0.913055	0.4699	0.637243	0.8292	0.606213
Serine	Cre09.g390097	Cre09.g390097	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.2894	0.893901	0.1757	0.775123	0.6269	0.637243	0.5132	0.610123
Serine	Cre09.g390134	Cre09.g390134	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding protein serine/threonine kinase activity signal transduction	0.8959	0.763672	-0.1915	0.791787	0.2705	0.831174	-0.8169	0.606213
Protein_Kinase_Signalling	Cre09.g390171	Cre09.g390171	ATP binding protein kinase activity protein phosphorylation nucleotide binding	0.1371	0.950312	-0.4956	0.569404	0.5459	0.674355	-0.0869	0.917421
Protein_Kinase_Signalling	Cre09.g390300	Cre09.g390300	ATP binding protein kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding cytoplasm signal transduction	3.5279	0.763672	4.0152	0.297631	0.8318	0.627762	1.319	0.606213
Ubiquitin_Proteasome	Cre09.g390356	Cre09.g390356	protein ubiquitination ubiquitin-protein transferase activity	0.9137	0.787158	0.8024	0.533619	0.918	0.678079	0.8067	0.63078
Inositol	Cre09.g390578	Cre09.g390578	membrane transmembrane transport monoatomic ion channel activity calcium channel activity monoatomic ion transport calcium ion transmembrane transport plasma membrane inositol 1,4,5 trisphosphate binding regulation of cytosolic calcium ion concentration cation channel complex monoatomic ion transmembrane transport	0.7618	0.778445	-0.7357	0.488364	1.084	0.627762	-0.4135	0.797095
Serine	Cre09.g390600	Cre09.g390600	protein serine/threonine phosphatase activity signal transduction protein dephosphorylation	1.312	0.763672	1.0713	0.391039	1.1279	0.627762	0.8872	0.606213
Transcription	Cre09.g390957	Cre09.g390957	regulation of DNA-templated transcription DNA-binding transcription factor activity DNA binding nucleus cytosol mRNA regulatory element binding translation repressor activity negative regulation of translational initiation	1.9414	0.763672	1.8593	0.241173	0.8486	0.627762	0.7665	0.606213
Aspartate	Cre09.g390986	Cre09.g390986	ATP binding cytoplasm nucleic acid binding nucleotide binding ligase activity tRNA aminoacylation for protein translation aminoacyl-tRNA ligase activity translation mitochondrion aspartate-tRNA ligase activity aspartyl-tRNA aminoacylation	-0.7349	0.765014	-0.6689	0.295985	0.7876	0.627762	0.8536	0.606213
Serine	Cre09.g391023	Cre09.g391023	protein serine/threonine phosphatase activity hydrolase activity metal ion binding cytosol nucleus mitotic cell cycle	0.2521	0.87638	-0.1091	0.843663	0.7908	0.627762	0.4297	0.66768
cAMP_Signalling	Cre09.g391050	Cre09.g391050	intracellular signal transduction cyclic nucleotide biosynthetic process adenylate cyclase activity cAMP biosynthetic process	-0.1584	0.943783	0.465	0.354119	0.3035	0.764885	0.9269	0.606213
Translation	Cre09.g391097	Cre09.g391097	structural constituent of ribosome ribosome mRNA binding cytoplasmic translation cytosolic large ribosomal subunit ribonucleoprotein complex	0.3715	0.855414	0.7086	0.365147	0.5743	0.627762	0.9114	0.606213
Translation	Cre09.g391208	Cre09.g391208	ribosome ribonucleoprotein complex	-2.1808	0.763672	-1.2139	0.261574	0.3283	0.74748	1.2952	0.610661
Serine	Cre09.g391245	Cre09.g391245	ATP binding protein kinase activity protein serine/threonine kinase activity protein phosphorylation transferase activity kinase activity nucleotide binding cytosol cytoplasm membrane autophagosome assembly autophagosome phagophore assembly site regulation of autophagy	0.2186	0.910595	-0.8581	0.346676	1.3652	0.627762	0.2886	0.768933
Transcription	Cre09.g391353	Cre09.g391353	nucleus regulation of DNA-templated transcription DNA-binding transcription factor activity, RNA polymerase II-specific RNA polymerase II cis-regulatory region sequence-specific DNA binding regulation of transcription by RNA polymerase II	2.7429	0.763672	2.3639	0.207791	1.4287	0.627762	1.0497	0.606213
Protein_Kinase_Signalling	Cre09.g391356	Cre09.g391356	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	2.0091	0.763672	0.8716	0.256326	1.3909	0.627762	0.2534	0.820304
ROS_Scavenging	Cre09.g391450	Cre09.g391450	catalytic activity cytoplasm oxidoreductase activity iron-sulfur cluster binding cellular oxidant detoxification peroxidase activity oxidoreductase activity, acting on other nitrogenous compounds as donors hydroxylamine reductase activity response to hydrogen peroxide nitric oxide catabolic process	9.0609	0.765014	5.002	0.284094	3.5659	0.627762	-0.4929	0.861059
Phospholipid_Biosynthesis	Cre09.g391500	Cre09.g391500	autophagy lipid transport autophagosome protein localization to phagophore assembly site phagophore assembly site phospholipid scramblase activity piecemeal microautophagy of the nucleus reticulophagy mitophagy phagophore assembly site membrane plasma membrane phospholipid scrambling	0.387	0.813432	0.3602	0.54292	0.6276	0.627762	0.6008	0.606213
ROS_Scavenging	Cre09.g391650	Cre09.g391650	catalytic activity cytoplasm oxidoreductase activity iron-sulfur cluster binding cellular oxidant detoxification peroxidase activity oxidoreductase activity, acting on other nitrogenous compounds as donors hydroxylamine reductase activity response to hydrogen peroxide nitric oxide catabolic process	4.7027	0.763672	2.8717	0.266589	1.7432	0.627762	-0.0878	0.965588
Translation	Cre09.g391652	Cre09.g391652	nucleus ribosomal large subunit biogenesis nucleolus nucleoplasm Noc1p-Noc2p complex Noc2p-Noc3p complex	-0.6983	0.765014	0.0766	0.941909	0.1412	0.8814	0.9161	0.610123
Pyrimidine	Cre09.g391949	Cre09.g391949	RNA binding nucleus nucleic acid binding mRNA processing RNA splicing U2-type prespliceosome spliceosomal complex assembly pre-mRNA 3'-splice site binding U2AF complex commitment complex nuclear speck poly-pyrimidine tract binding	-1.6749	0.763672	-1.4759	0.254086	0.4544	0.637243	0.6533	0.614764
Phospholipid_Biosynthesis	Cre09.g392000	Cre09.g392000	exocyst exocytosis plasma membrane Golgi to plasma membrane transport phosphatidylinositol-4,5-bisphosphate binding	-0.2436	0.882566	0.1229	0.925524	0.4115	0.708449	0.7781	0.66768
Cysteine	Cre09.g392250	Cre09.g392250	cysteine-type deubiquitinase activity	0.8229	0.763672	0.2773	0.586811	1.2234	0.627762	0.6777	0.606213
Ubiquitin_Proteasome	Cre09.g392505	Cre09.g392505	protein ubiquitination ubiquitin-protein transferase activity	0.0066	0.997107	-0.0232	0.964255	1.067	0.627762	1.0373	0.606213
Purine	Cre09.g392950	Cre09.g392950	RNA binding RNA methyltransferase activity tRNA methylation RNA processing methyltransferase activity transferase activity methylation tRNA binding tRNA guanine ribose methylation	0.5264	0.852786	0.6215	0.401752	1.2765	0.627762	1.3716	0.606213
Protein_Kinase_Signalling	Cre09.g393062	Cre09.g393062	ATP binding protein kinase activity protein phosphorylation cytoplasm signal transduction	0.653	0.766691	0.5907	0.59083	0.6435	0.697514	0.5813	0.619638
Inositol	Cre09.g393136	Cre09.g393136	clathrin coat assembly 1-phosphatidylinositol binding clathrin-coated vesicle clathrin binding clathrin-dependent endocytosis cytoplasmic vesicle vesicle-mediated transport phospholipid binding clathrin-coated pit SNARE binding clathrin heavy chain binding endocytosis phosphatidylinositol-4,5-bisphosphate binding vesicle budding from membrane	-0.2344	0.892287	-0.9753	0.193384	0.3139	0.704023	-0.4269	0.606683
Chaperone	Cre09.g393200	Cre09.g393200	ATP binding ATP hydrolysis activity protein folding nucleotide binding mitochondrion cytoplasm protein folding chaperone heat shock protein binding protein refolding iron-sulfur cluster assembly response to heat	-0.1825	0.909225	-0.0591	0.941669	0.8194	0.627762	0.9428	0.606213
Vitamin_E_Tocopherol	Cre09.g393400	Cre09.g393400	methyltransferase activity S-adenosylmethionine-dependent methyltransferase activity transferase activity methylation tocopherol C-methyltransferase activity alkaloid metabolic process	-0.6917	0.846709	-0.7946	0.303756	0.4873	0.720436	0.3843	0.714162
ROS_Scavenging	Cre09.g393506	Cre09.g393506	catalytic activity cytoplasm oxidoreductase activity iron-sulfur cluster binding cellular oxidant detoxification peroxidase activity oxidoreductase activity, acting on other nitrogenous compounds as donors hydroxylamine reductase activity response to hydrogen peroxide nitric oxide catabolic process	1.4239	0.765014	1.033	0.407626	-0.0414	0.964808	-0.4323	0.829092
ROS_Scavenging	Cre09.g393543	Cre09.g393543	catalytic activity cytoplasm oxidoreductase activity iron-sulfur cluster binding cellular oxidant detoxification peroxidase activity oxidoreductase activity, acting on other nitrogenous compounds as donors hydroxylamine reductase activity response to hydrogen peroxide nitric oxide catabolic process	0.5304	0.784993	-0.0491	0.958688	0.1944	0.832213	-0.3851	0.752819
